id,expiration_time,pokemon_id,lat,long
7583172,1469534111,10,51.580221,-.337227
5994754,1469533764,98,51.580716,-.336678
6137925,1469533765,98,51.580716,-.336678
8018825,1469534164,13,51.581457,-.336132
7783818,1469534165,13,51.581457,-.336132
8338913,1469534484,52,51.579325,-.334164
6666837,1469533850,133,51.579655,-.334075
8338915,1469534210,133,51.579901,-.334171
6292413,1469533871,13,51.580639,-.334920
6369943,1469533872,13,51.580639,-.334920
6666976,1469533803,133,51.580562,-.332884
8187936,1469534157,13,51.580654,-.329463
7439943,1469533781,7,51.583433,-.305268
8128979,1469533819,100,51.579916,-.298020
6280481,1469533778,20,51.582304,-.296567
6732688,1469533965,97,51.586006,-.295682
7910554,1469533932,54,51.578290,-.290795
7630327,1469534370,13,51.579548,-.280644
7517341,1469534155,98,51.585467,-.280889
7517340,1469533918,42,51.584483,-.279493
7517335,1469534022,17,51.584239,-.278566
7517337,1469534099,13,51.585471,-.279133
6687169,1469533846,13,51.585559,-.276547
6687167,1469533759,10,51.586300,-.276277
2148336,1469532170,147,51.467502,-.045627
3223912,1469532777,116,51.474644,-.042341
2751961,1469532457,10,51.475635,-.017161
1649514,1469531977,29,51.477031,-.016796
3288439,1469532309,98,51.477606,-.015881
2751962,1469532446,18,51.474568,-.017618
1415999,1469532144,72,51.476375,-.000503
2534977,1469532145,72,51.476375,-.000503
2733001,1469532145,90,51.471696,-.014779
2827600,1469532141,35,51.473913,-.001692
2042947,1469532321,48,51.477032,.000686
2042945,1469532213,35,51.478428,.001052
2931674,1469532662,13,51.468331,.010201
2931673,1469532634,10,51.469316,.010385
2534975,1469532553,72,51.474405,.000503
2622913,1469532178,66,51.475374,.062405
3025053,1469532320,92,51.471275,.051586
1680110,1469532041,54,51.468603,-.359472
3313417,1469532820,118,51.462647,-.318956
3313419,1469532343,129,51.462483,-.318678
3063146,1469532730,54,51.462074,-.318213
2396177,1469532220,120,51.458737,-.307865
2731395,1469532311,60,51.458818,-.308142
3063141,1469531964,72,51.462163,-.315820
2599598,1469531965,72,51.462163,-.315820
2396170,1469532353,69,51.457511,-.306011
2570210,1469532402,72,51.461941,-.306336
3225099,1469532790,17,51.460634,-.304296
1827323,1469531963,90,51.462193,-.304313
1827324,1469532196,100,51.462198,-.302472
2816912,1469532197,100,51.462198,-.302472
3178259,1469532083,13,51.461638,-.296668
1746233,1469531967,92,51.462917,-.276990
1416861,1469532148,79,51.468375,-.218466
1416862,1469532134,118,51.468457,-.218650
1191116,1469531963,120,51.465595,-.212930
2661132,1469531964,120,51.465595,-.212930
2661135,1469532473,129,51.465350,-.211918
2640441,1469532522,17,51.460253,-.216840
3264015,1469532790,120,51.461732,-.215749
2801913,1469532582,29,51.462001,-.203257
2801911,1469532503,13,51.462821,-.203631
2801912,1469532051,129,51.463067,-.203449
2469978,1469532339,112,51.466064,-.177571
